==PROF== Connected to process 5438 (/usr/bin/python3.12)
==PROF== Connected to process 5465 (/usr/bin/nvidia-smi)
==PROF== Disconnected from process 5465
==PROF== Disconnected from process 5438
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","5438","python3.12","127.0.0.1","nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT","1","7","(256, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes.sum","byte","151251712"
"0","5438","python3.12","127.0.0.1","nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT","1","7","(256, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","105676032"
"0","5438","python3.12","127.0.0.1","nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT","1","7","(256, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_write.sum","byte","45575680"
"0","5438","python3.12","127.0.0.1","nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT","1","7","(256, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","51.26"
"0","5438","python3.12","127.0.0.1","nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT","1","7","(256, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","gpu__time_duration.sum","ns","242208"
"0","5438","python3.12","127.0.0.1","nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT","1","7","(256, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.sum","","0"
"0","5438","python3.12","127.0.0.1","nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT","1","7","(256, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","sm__ops_path_tensor_op_hmma_src_fp16_dst_fp32_sparsity_off.sum","","0"
"0","5438","python3.12","127.0.0.1","nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT","1","7","(256, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","sm__ops_path_tensor_src_fp4_fp6_fp8_dst_fp16.sum","","0"
"0","5438","python3.12","127.0.0.1","nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT","1","7","(256, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","sm__ops_path_tensor_src_fp4_fp6_fp8_dst_fp32.sum","","0"
"0","5438","python3.12","127.0.0.1","nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT","1","7","(256, 1, 1)","(1024, 1, 1)","0","10.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","86.37"
"1","5438","python3.12","127.0.0.1","_rms_norm","1","13","(512, 1, 1)","(4096, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes.sum","byte","52405504"
"1","5438","python3.12","127.0.0.1","_rms_norm","1","13","(512, 1, 1)","(4096, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_read.sum","byte","50349312"
"1","5438","python3.12","127.0.0.1","_rms_norm","1","13","(512, 1, 1)","(4096, 1, 1)","0","10.0","Command line profiler metrics","dram__bytes_write.sum","byte","2056192"
"1","5438","python3.12","127.0.0.1","_rms_norm","1","13","(512, 1, 1)","(4096, 1, 1)","0","10.0","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","43.62"
"1","5438","python3.12","127.0.0.1","_rms_norm","1","13","(512, 1, 1)","(4096, 1, 1)","0","10.0","Command line profiler metrics","gpu__time_duration.sum","ns","32768"
"1","5438","python3.12","127.0.0.1","_rms_norm","1","13","(512, 1, 1)","(4096, 1, 1)","0","10.0","Command line profiler metrics","sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.sum","","0"
"1","5438","python3.12","127.0.0.1","_rms_norm","1","13","(512, 1, 1)","(4096, 1, 1)","0","10.0","Command line profiler metrics","sm__ops_path_tensor_op_hmma_src_fp16_dst_fp32_sparsity_off.sum","","0"
"1","5438","python3.12","127.0.0.1","_rms_norm","1","13","(512, 1, 1)","(4096, 1, 1)","0","10.0","Command line profiler metrics","sm__ops_path_tensor_src_fp4_fp6_fp8_dst_fp16.sum","","0"
