Provider,Model,Prompt Tokens,Generation Tokens,Stream,Temperature,Logprobs,Concurrency,Time To First Token,Latency Per Token,Num Tokens,Total Latency,Num Requests,Qps,P50 Time To First Token,P90 Time To First Token,P99 Time To First Token,P99.9 Time To First Token,P50 Total Latency,P90 Total Latency,P99 Total Latency,P99.9 Total Latency,P50 Latency Per Token,P90 Latency Per Token,P99 Latency Per Token,P99.9 Latency Per Token
adaptive,test,124.0,128,True,1.0,,0.125,477.96590817160904,21.890042184729328,129.0,3301.7813500016928,5,0.13052073994456176,480.0,500.0,500.0,500.0,3300.0,3400.0,3400.0,3400.0,22,23,23,23
adaptive,test,124.0,128,True,1.0,,0.5,523.456952010747,22.521492968096535,129.0,3428.7295448951995,26,0.5751668412258322,520.0,550.0,560.0,560.0,3400.0,3500.0,3500.0,3500.0,23,23,23,23
adaptive,test,124.0,128,True,1.0,,1.0,548.9973464821189,23.68715682155452,129.05555555555554,3605.925661315538,54,1.1685751177808377,520.0,570.0,810.0,810.0,3500.0,4300.0,4300.0,4300.0,23,29,29,29
adaptive,test,252.0,128,True,1.0,,0.125,457.27097496856004,21.922462079457414,129.0,3285.268583218567,5,0.12585610833215854,460.0,460.0,460.0,460.0,3300.0,3400.0,3400.0,3400.0,22,23,23,23
adaptive,test,252.0,128,True,1.0,,0.5,563.262764521194,22.97615087678579,129.0,3527.186227626561,26,0.5748071480577635,520.0,800.0,810.0,810.0,3400.0,4200.0,4200.0,4200.0,23,26,26,26
adaptive,test,252.0,128,True,1.0,,1.0,526.8156110886829,22.914291761941097,128.9814814814815,3482.3180516767834,54,1.141128184001609,520.0,540.0,810.0,810.0,3500.0,3600.0,3800.0,3800.0,23,24,26,26
adaptive,test,252.0,128,True,1.0,,2.0,560.1588570835377,24.4468146133469,129.0275229357798,3714.418048142678,109,2.3688525160973257,520.0,790.0,840.0,850.0,3500.0,4800.0,4900.0,4900.0,23,31,32,32
adaptive,test,252.0,128,True,1.0,,4.0,564.9999707724703,25.943680152738477,129.0275229357798,3912.4202737371106,218,4.818489493332206,520.0,580.0,1200.0,1400.0,3600.0,5300.0,5500.0,5500.0,24,36,38,38
adaptive,test,252.0,128,True,1.0,,68.0,18929.2828420745,32.90785558625034,129.0,23174.386891339873,767,17.156793160302946,23000.0,27000.0,29000.0,29000.0,27000.0,32000.0,34000.0,34000.0,33,35,38,40
adaptive,test,252.0,128,True,1.0,,10.0,916.6541832932768,29.828363226289895,128.99264705882354,4764.26211597059,544,11.87004200786449,540.0,2300.0,4500.0,4500.0,4300.0,6400.0,8700.0,8700.0,29,33,34,34
adaptive,test,252.0,128,True,1.0,,12.0,1073.9215788716235,30.481170249375232,128.98461538461538,5005.468770686644,650,13.92271962026889,540.0,3200.0,4500.0,4800.0,4400.0,7200.0,8700.0,8800.0,30,33,35,35
adaptive,test,252.0,128,True,1.0,,14.0,2353.3151470580565,31.802129335548273,129.0079051383399,6456.007874179055,759,16.37035912932543,2100.0,4800.0,6500.0,6800.0,6200.0,8900.0,11000.0,11000.0,32,33,35,35
adaptive,test,252.0,128,True,1.0,,16.0,5292.895006139901,32.31136203092359,128.9921773142112,9460.790144728413,767,17.37856670220118,5500.0,7200.0,7700.0,7800.0,9700.0,11000.0,12000.0,12000.0,32,34,35,35
adaptive,test,252.0,128,True,1.0,,18.0,8499.312766712745,32.54827547131436,128.96610169491527,12696.942668804148,767,17.351581302729862,9300.0,11000.0,13000.0,13000.0,13000.0,16000.0,17000.0,17000.0,33,34,35,36
adaptive,test,252.0,128,True,1.0,,20.0,10130.214233286551,32.57595701913193,128.83203125,14326.44922493486,768,17.222352456366448,11000.0,15000.0,16000.0,16000.0,15000.0,19000.0,20000.0,21000.0,33,34,35,37
adaptive,test,508.0,128,True,1.0,,0.125,463.4847498033196,21.910000128613767,129.0,3289.874766394496,5,0.12608385477683692,460.0,480.0,480.0,480.0,3300.0,3400.0,3400.0,3400.0,22,23,23,23
adaptive,test,508.0,128,True,1.0,,0.5,548.7756442251758,22.772235850314566,129.0,3486.3940689157553,26,0.5666238631076443,520.0,790.0,810.0,810.0,3400.0,3900.0,3900.0,3900.0,23,24,24,24
adaptive,test,508.0,128,True,1.0,,1.0,549.8951004421407,23.06746373825711,128.9814814814815,3525.155886695117,54,1.1684256067523953,520.0,790.0,800.0,800.0,3500.0,4000.0,4000.0,4000.0,23,25,27,27
adaptive,test,508.0,128,True,1.0,,2.0,529.4035898730876,24.08663517080458,129.0275229357798,3637.1744479962686,109,2.3199432012202563,520.0,550.0,840.0,1100.0,3600.0,3900.0,4000.0,4000.0,24,26,27,27
adaptive,test,508.0,128,True,1.0,,4.0,531.246522812547,25.42015802366387,128.97260273972603,3809.761565049991,219,4.714615004273681,530.0,560.0,650.0,660.0,3700.0,4400.0,4600.0,4600.0,25,30,31,31
adaptive,test,508.0,128,True,1.0,,68.0,19585.26903671607,34.735917658624764,128.96301564722617,24064.77314552244,703,15.951763390048194,22000.0,30000.0,31000.0,31000.0,27000.0,35000.0,36000.0,36000.0,35,36,37,39
adaptive,test,508.0,128,True,1.0,,10.0,962.6025914744263,31.97891091773286,129.01486988847583,5088.337086970947,538,11.79769332039297,550.0,2500.0,4900.0,4900.0,4600.0,6900.0,9300.0,9500.0,31,35,36,37
adaptive,test,508.0,128,True,1.0,,12.0,1584.4570712707837,33.53101156560058,128.98454404945903,5909.417472705619,647,14.087586396184049,590.0,4500.0,5700.0,6100.0,5100.0,8900.0,10000.0,11000.0,33,36,37,42
adaptive,test,508.0,128,True,1.0,,14.0,4350.8966536808275,34.86533685257293,128.9302987197724,8846.124387193859,703,16.06595641007529,4600.0,6500.0,7500.0,7700.0,9100.0,11000.0,12000.0,12000.0,35,36,38,38
adaptive,test,508.0,128,True,1.0,,16.0,7580.884198900272,35.13267849664664,129.0085348506401,12113.266317320391,703,15.95349696579315,8200.0,10000.0,12000.0,12000.0,13000.0,15000.0,16000.0,16000.0,35,37,38,39
