Provider,Model,Prompt Tokens,Generation Tokens,Stream,Temperature,Logprobs,Concurrency,Time To First Token,Latency Per Token,Num Tokens,Total Latency,Num Requests,Qps,P50 Time To First Token,P90 Time To First Token,P99 Time To First Token,P99.9 Time To First Token,P50 Total Latency,P90 Total Latency,P99 Total Latency,P99.9 Total Latency,P50 Latency Per Token,P90 Latency Per Token,P99 Latency Per Token,P99.9 Latency Per Token
adaptive,test,124.0,128,True,1.0,,0.125,38.660980667070056,21.967177835916043,129.0,2872.42692150024,6,0.12605598421535222,39,40,40,40,2900.0,2900.0,2900.0,2900.0,22,22,22,22
adaptive,test,124.0,128,True,1.0,,0.5,152.30836915382568,22.372168885212766,129.0,3038.3181553462728,26,0.5738203158806481,110.0,410.0,500.0,500.0,3000.0,3400.0,3400.0,3400.0,22,23,23,23
adaptive,test,124.0,128,True,1.0,,1.0,173.75848150004458,22.897227767142606,129.03703703703704,3128.3312282407855,54,1.1662207237709297,120.0,500.0,550.0,550.0,3000.0,3500.0,3600.0,3600.0,23,24,26,26
adaptive,test,124.0,128,True,1.0,,2.0,132.05087247280807,23.627836380867688,128.98181818181817,3179.6175997727087,110,2.356214050601685,120.0,190.0,280.0,310.0,3100.0,3600.0,3600.0,3700.0,23,26,26,26
adaptive,test,124.0,128,True,1.0,,4.0,154.86071623989497,25.0938306869344,129.0,3391.94117501815,221,4.770453098542843,120.0,280.0,530.0,530.0,3200.0,4100.0,4300.0,4300.0,24,29,30,30
adaptive,test,124.0,128,True,1.0,,6.0,219.27066477879137,27.344222481496928,128.96666666666667,3745.773379966656,330,7.176169651430182,130.0,490.0,1500.0,1900.0,3500.0,4500.0,5000.0,5500.0,26,31,32,32
adaptive,test,124.0,128,True,1.0,,8.0,418.9385418208371,28.456148503053544,129.01133786848072,4090.073139632654,441,9.554164409093149,140.0,860.0,4200.0,4300.0,3700.0,5000.0,8300.0,8400.0,27,32,32,33
adaptive,test,124.0,128,True,1.0,,10.0,765.6038225737809,29.990653271592333,128.9799635701275,4633.792448316889,549,11.903867520941583,150.0,2900.0,4500.0,4600.0,3900.0,7100.0,8600.0,8700.0,29,32,32,32
adaptive,test,124.0,128,True,1.0,,12.0,1499.3000550958552,31.118335058476532,128.98934550989347,5513.223842693989,657,14.247923567375341,500.0,4400.0,5800.0,6100.0,4600.0,8600.0,9900.0,10000.0,32,32,32,32
adaptive,test,124.0,128,True,1.0,,14.0,4325.870217056902,32.608813127217914,128.99431009957326,8532.204515776688,703,16.117101081914047,4600.0,6300.0,7400.0,7700.0,8800.0,11000.0,12000.0,12000.0,33,33,33,33
