Provider,Model,Prompt Tokens,Generation Tokens,Stream,Temperature,Logprobs,Concurrency,Time To First Token,Latency Per Token,Num Tokens,Total Latency,Num Requests,Qps,P50 Time To First Token,P90 Time To First Token,P99 Time To First Token,P99.9 Time To First Token,P50 Total Latency,P90 Total Latency,P99 Total Latency,P99.9 Total Latency,P50 Latency Per Token,P90 Latency Per Token,P99 Latency Per Token,P99.9 Latency Per Token
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,0.125,378.3092918107286,21.911835527343516,129.0,3204.9360748380423,5,0.12505475221171208,370.0,390.0,390.0,390.0,3200.0,3200.0,3200.0,3200.0,22,22,22,22
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,0.5,383.5881730953518,22.541956233687696,128.92307692307693,3289.765886228102,26,0.5114934847585272,380.0,400.0,440.0,440.0,3300.0,3300.0,3700.0,3700.0,22,23,26,26
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,1.0,392.23239578617114,22.81183597260781,129.09259259259258,3336.9033542069333,54,1.036766542700788,380.0,410.0,600.0,600.0,3300.0,3400.0,3600.0,3600.0,23,23,25,25
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,2.0,391.3498486108104,23.10177646105512,129.0275229357798,3372.105013361252,109,2.1074075247128894,390.0,410.0,470.0,530.0,3400.0,3400.0,3500.0,3500.0,23,23,24,24
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,4.0,404.0734874867073,23.954860762149142,128.98173515981736,3493.8123775114514,219,4.262165379775201,390.0,440.0,570.0,650.0,3500.0,3600.0,3800.0,3800.0,24,25,26,26
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,6.0,413.99383693912125,25.915017542285522,129.00611620795107,3757.1790322593047,327,6.374147375311797,410.0,440.0,490.0,660.0,3700.0,3800.0,4000.0,4000.0,26,26,27,28
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,8.0,424.60224248482854,26.394954965091298,129.02078521939953,3830.100990878633,433,8.534972047697002,420.0,450.0,480.0,550.0,3800.0,3900.0,4100.0,4200.0,26,27,29,29
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,10.0,426.47162676348836,27.647504939049174,129.0256880733945,3993.673879758737,545,10.633736590686981,420.0,450.0,510.0,640.0,4000.0,4200.0,4300.0,4400.0,27,29,30,30
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,12.0,438.6672873248776,28.33697243282585,128.98307692307694,4093.5964629489285,650,12.892872300056819,430.0,470.0,610.0,880.0,4000.0,4300.0,4700.0,4700.0,28,30,33,33
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,14.0,446.07023222930485,29.499731989894798,129.02774108322325,4252.300813306637,757,15.0342246542319,440.0,490.0,590.0,970.0,4200.0,4700.0,5100.0,5200.0,29,33,36,36
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,16.0,449.39995465740947,30.155564019712973,129.00115606936416,4339.437499136066,865,17.050632451541674,440.0,480.0,610.0,880.0,4300.0,4600.0,4900.0,5000.0,30,32,35,35
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,18.0,456.58154160742976,31.838261863123936,129.00823892893925,4563.94270039763,971,19.599417748467474,450.0,520.0,750.0,1000.0,4400.0,5000.0,5600.0,5600.0,31,34,39,40
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,20.0,465.6247067688042,32.6712144696623,129.0,4680.201494505185,1060,21.400680154626475,460.0,520.0,800.0,1000.0,4600.0,5000.0,5600.0,5600.0,32,35,39,40
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,0.125,389.687124802731,21.889831524255662,129.0,3213.4753914317116,5,0.1249775070200892,370.0,430.0,430.0,430.0,3200.0,3200.0,3200.0,3200.0,22,22,22,22
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,0.5,393.460184295411,22.40209318486419,129.0,3283.330205142892,26,0.512900180850949,390.0,420.0,450.0,450.0,3300.0,3300.0,3300.0,3300.0,22,23,23,23
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,1.0,384.0504798658744,22.717161654373562,129.0,3314.5643332800655,54,1.057925247852627,380.0,400.0,520.0,520.0,3300.0,3300.0,3500.0,3500.0,23,23,24,24
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,2.0,393.83187766588475,23.24141718762292,128.90825688073394,3389.7678883064864,109,2.1023315083508907,390.0,410.0,460.0,480.0,3400.0,3400.0,3500.0,3500.0,23,23,24,25
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,4.0,397.8498816568847,24.09397282153023,129.013698630137,3506.2430648571176,219,4.235638435038656,390.0,420.0,490.0,500.0,3500.0,3600.0,3700.0,3800.0,24,25,26,26
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,6.0,424.6455117908914,26.094488342916982,129.0121951219512,3791.138909428477,328,6.3650715945321235,420.0,460.0,610.0,700.0,3800.0,3800.0,4000.0,4100.0,26,27,28,28
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,8.0,440.171161988586,26.698741711492854,129.0137299771167,3884.6345773191583,437,8.479809613694194,420.0,470.0,870.0,1400.0,3800.0,4000.0,4400.0,4800.0,26,27,30,31
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,10.0,442.4480425702367,28.19546100185371,128.97610294117646,4078.970398499437,544,10.795433560380006,430.0,470.0,660.0,1400.0,4000.0,4300.0,4600.0,5100.0,28,30,32,32
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,12.0,448.9534418558585,28.736437462333683,128.99234303215925,4155.718558451701,653,12.856041998536432,440.0,500.0,700.0,840.0,4100.0,4300.0,4700.0,4800.0,28,30,33,33
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,14.0,447.93148157637745,30.027695455123645,128.9855072463768,4321.054627761651,759,15.019259379268133,440.0,480.0,690.0,840.0,4200.0,4700.0,5100.0,5100.0,29,33,36,36
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,16.0,463.42252343550416,30.912782954128645,129.00231749710312,4451.220221869698,863,17.155721388856463,450.0,510.0,720.0,920.0,4400.0,4700.0,5100.0,5200.0,30,33,36,37
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,18.0,464.65044723245455,32.47175651525427,129.00103734439833,4653.489925199033,964,19.113387814473686,460.0,510.0,770.0,1200.0,4600.0,4900.0,5300.0,5500.0,32,34,37,38
vllm-statefulkv,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,20.0,467.6498621960392,33.25235105635719,129.00972762645915,4757.542890763809,1028,20.55380989990488,460.0,530.0,810.0,1300.0,4700.0,5100.0,5700.0,5800.0,33,36,40,41
