Provider,Model,Prompt Tokens,Generation Tokens,Stream,Temperature,Logprobs,Concurrency,Time To First Token,Latency Per Token,Num Tokens,Total Latency,Num Requests,Qps,P50 Time To First Token,P90 Time To First Token,P99 Time To First Token,P99.9 Time To First Token,P50 Total Latency,P90 Total Latency,P99 Total Latency,P99.9 Total Latency,P50 Latency Per Token,P90 Latency Per Token,P99 Latency Per Token,P99.9 Latency Per Token
adaptive,test,124.0,128,True,1.0,,0.125,38.565208799991524,21.90218573488412,129.0,2863.9471686000434,5,0.12693794452487536,31,51,51,51,2900.0,2900.0,2900.0,2900.0,22,22,22,22
adaptive,test,124.0,128,True,1.0,,0.5,110.51580592306192,22.323889581153104,128.96153846153845,2989.414792923063,26,0.5748661318036169,110.0,140.0,140.0,140.0,3000.0,3100.0,3100.0,3100.0,22,23,23,23
adaptive,test,124.0,128,True,1.0,,1.0,146.75577692592603,22.71240402578653,129.0,3076.6555075740816,54,1.1754079972580576,100.0,480.0,490.0,490.0,3000.0,3500.0,3600.0,3600.0,22,24,26,26
adaptive,test,124.0,128,True,1.0,,2.0,178.64391407778788,24.06348828357159,129.06666666666666,3284.371930822223,90,2.50814724998358,110.0,490.0,850.0,850.0,3100.0,4200.0,4300.0,4300.0,23,29,31,31
adaptive,test,124.0,128,True,1.0,,4.0,186.92464184235115,24.98523722151503,128.95045045045046,3408.673099144151,222,4.837679932974787,120.0,500.0,910.0,950.0,3100.0,4700.0,4900.0,4900.0,23,32,34,34
adaptive,test,124.0,128,True,1.0,,6.0,253.7732948942729,26.598172847898482,128.97280966767372,3684.2248307673776,331,7.286714777757488,130.0,590.0,2100.0,2500.0,3400.0,4600.0,5600.0,6000.0,25,31,32,32
adaptive,test,124.0,128,True,1.0,,8.0,404.9239708031653,27.054165482903834,128.99321266968326,3894.67556976245,442,9.665327528944566,130.0,640.0,4500.0,4500.0,3500.0,4600.0,7900.0,7900.0,26,31,34,34
adaptive,test,124.0,128,True,1.0,,10.0,632.2840880864746,28.737054603244104,128.99778270509978,4339.221286665184,451,12.375354205651401,140.0,2600.0,4000.0,4000.0,3700.0,6400.0,8100.0,8300.0,28,32,33,34
adaptive,test,124.0,128,True,1.0,,12.0,1316.5457005409103,29.114973517229043,128.9909090909091,5072.107515754559,660,14.374092493606215,180.0,4500.0,5900.0,6300.0,3900.0,8300.0,9800.0,10000.0,28,31,33,34
adaptive,test,124.0,128,True,1.0,,14.0,2610.3901795110532,29.778916561727247,128.98569570871263,6451.422927730811,769,16.6352920813215,2400.0,5600.0,7300.0,7500.0,6200.0,9400.0,11000.0,12000.0,29,31,33,34
