Provider,Model,Prompt Tokens,Generation Tokens,Stream,Temperature,Logprobs,Concurrency,Time To First Token,Latency Per Token,Num Tokens,Total Latency,Num Requests,Qps,P50 Time To First Token,P90 Time To First Token,P99 Time To First Token,P99.9 Time To First Token,P50 Total Latency,P90 Total Latency,P99 Total Latency,P99.9 Total Latency,P50 Latency Per Token,P90 Latency Per Token,P99 Latency Per Token,P99.9 Latency Per Token,Total Requests,Incomplete Requests Nofirstchunk,Incomplete Requests Nolastchunk,Incomplete Requests
adaptive,test,124.0,128,True,1.0,,0.125,29.304636797557276,21.958354250792638,129.0,2861.9323351498074,6,0.12713027163280471,29,30,30,30,2900.0,2900.0,2900.0,2900.0,22,22,22,22,7,0,0,0
adaptive,test,124.0,128,True,1.0,,0.5,169.45850026632587,22.44720689170856,129.0,3065.148189296731,26,0.58470910356019,110.0,390.0,790.0,790.0,3000.0,3700.0,3700.0,3700.0,22,23,25,25,29,0,2,2
adaptive,test,124.0,128,True,1.0,,1.0,111.61896869479851,23.057614265819037,129.03703703703704,3086.8771722652364,54,1.187830039335378,100.0,140.0,460.0,460.0,3000.0,3500.0,3600.0,3600.0,22,26,26,26,58,0,3,3
adaptive,test,124.0,128,True,1.0,,2.0,117.89655632826246,23.556025013507526,128.98181818181817,3156.1757649580777,110,2.412337061014737,110.0,150.0,200.0,200.0,3100.0,3600.0,3700.0,3700.0,23,26,27,27,117,0,6,6
adaptive,test,124.0,128,True,1.0,,4.0,137.6248612295103,24.97392891983309,128.9683257918552,3358.5123021426352,221,4.840172829675912,120.0,160.0,600.0,600.0,3100.0,4400.0,4500.0,4500.0,23,32,34,34,235,1,12,13
adaptive,test,124.0,128,True,1.0,,6.0,185.05216613158674,26.557834757765406,128.97280966767372,3610.3118075088814,331,7.2289156872425675,130.0,170.0,1800.0,2100.0,3400.0,4300.0,5200.0,5500.0,25,31,33,34,353,1,20,21
adaptive,test,124.0,128,True,1.0,,8.0,384.24303436365267,27.085411171828024,128.9841628959276,3877.8561945073307,442,9.62629018387381,130.0,470.0,4100.0,4200.0,3500.0,4500.0,7900.0,8000.0,26,31,34,34,471,1,27,28
adaptive,test,124.0,128,True,1.0,,10.0,837.5004886694927,28.82163076584299,129.01821493624772,4555.973697423627,549,12.115185342682947,140.0,3600.0,4600.0,4800.0,3700.0,7400.0,8600.0,8700.0,28,32,34,34,586,1,35,36
adaptive,test,124.0,128,True,1.0,,12.0,1478.6888353237318,29.26033693473247,128.9939393939394,5253.0931938915855,660,14.482822127265557,180.0,4600.0,6300.0,6700.0,4100.0,8600.0,10000.0,11000.0,29,32,34,34,706,2,43,45
adaptive,test,124.0,128,True,1.0,,14.0,3023.181640321293,29.933894277406758,128.97783572359845,6883.94528037305,767,16.682520186327995,3100.0,6100.0,7700.0,8000.0,6900.0,10000.0,12000.0,12000.0,30,32,34,35,824,2,54,56
adaptive,test,124.0,128,True,1.0,,16.0,6221.942857021376,30.288941699105507,129.02216427640155,10129.847742508304,767,17.640375342972977,6700.0,8300.0,9000.0,9200.0,11000.0,12000.0,13000.0,13000.0,30,32,33,34,941,109,64,173
adaptive,test,124.0,128,True,1.0,,18.0,8270.805068496473,30.29529177966164,128.98916967509027,12178.534740080868,831,17.845066588488603,9100.0,11000.0,12000.0,12000.0,13000.0,15000.0,16000.0,16000.0,30,32,34,34,1057,161,64,225
adaptive,test,124.0,128,True,1.0,,20.0,10344.766204462454,30.10609585392514,128.94270833333334,14226.744589780845,768,16.869407664331565,11000.0,14000.0,16000.0,16000.0,15000.0,18000.0,20000.0,20000.0,30,31,34,34,1176,343,64,407
adaptive,test,252.0,128,True,1.0,,0.125,30.194210664679606,21.966110052810425,129.0,2863.8224074772247,6,0.1277256005739988,30,31,31,31,2900.0,2900.0,2900.0,2900.0,22,22,22,22,7,0,0,0
adaptive,test,252.0,128,True,1.0,,0.5,182.4207658512303,22.761974056202607,129.03846153846155,3119.5650520832996,26,0.5905253425333752,110.0,440.0,790.0,790.0,3000.0,4000.0,4100.0,4100.0,22,25,28,28,29,0,2,2
adaptive,test,252.0,128,True,1.0,,1.0,176.16370857770866,22.910374247975582,128.92592592592592,3129.8792245107943,54,1.1873153859335122,110.0,460.0,2100.0,2100.0,3000.0,3500.0,5000.0,5000.0,23,24,26,26,58,0,3,3
adaptive,test,252.0,128,True,1.0,,2.0,114.5995630014857,23.651779056248003,128.9909090909091,3165.4259249578568,110,2.379584531053001,110.0,140.0,140.0,150.0,3100.0,3500.0,3600.0,3600.0,23,26,27,27,117,0,6,6
adaptive,test,252.0,128,True,1.0,,4.0,121.63843816974331,24.840162820364768,129.02714932126696,3326.609349081596,221,4.819353121497591,120.0,150.0,150.0,390.0,3200.0,4000.0,4200.0,4200.0,24,30,31,31,235,0,13,13
adaptive,test,252.0,128,True,1.0,,6.0,176.33542029899687,27.151889066035046,128.9939393939394,3678.7776804010555,330,7.228346764852088,130.0,160.0,1800.0,2200.0,3500.0,4400.0,5300.0,5600.0,26,32,34,34,352,1,20,21
adaptive,test,252.0,128,True,1.0,,8.0,389.5367432706155,27.716665293954886,128.98639455782313,3964.5988403504307,441,9.62674772762893,130.0,480.0,4100.0,4700.0,3600.0,4600.0,7900.0,8000.0,27,32,35,35,470,0,28,28
adaptive,test,252.0,128,True,1.0,,10.0,1346.9733115588047,30.23909615383799,128.99233716475095,5247.586287509015,261,15.39217544847039,200.0,4100.0,4500.0,4500.0,4500.0,8000.0,8500.0,8600.0,30,33,35,35,300,1,37,38
adaptive,test,252.0,128,True,1.0,,12.0,1708.9487216207247,30.683819064714278,129.00808080808082,5667.3824802687805,495,15.413497384020118,570.0,4400.0,6200.0,6300.0,4700.0,8500.0,10000.0,10000.0,30,33,35,35,542,1,45,46
adaptive,test,252.0,128,True,1.0,,14.0,3455.9492523053077,43.95495017084382,128.98742138364778,9125.710677001705,636,13.82142907049556,3600.0,6200.0,7800.0,13000.0,8400.0,16000.0,20000.0,21000.0,32,110.0,130.0,130.0,824,123,64,187
