Provider,Model,Prompt Tokens,Generation Tokens,Stream,Temperature,Logprobs,Concurrency,Time To First Token,Latency Per Token,Num Tokens,Total Latency,Num Requests,Qps,P50 Time To First Token,P90 Time To First Token,P99 Time To First Token,P99.9 Time To First Token,P50 Total Latency,P90 Total Latency,P99 Total Latency,P99.9 Total Latency,P50 Latency Per Token,P90 Latency Per Token,P99 Latency Per Token,P99.9 Latency Per Token
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,0.125,35.82698550053465,21.86734248654825,128.66666666666666,2849.3267746668303,6,0.1286802799553511,36,36,36,36,2800.0,2900.0,2900.0,2900.0,22,22,22,22
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,0.5,49.61608242333918,22.3891470963682,129.1153846153846,2940.278409961558,26,0.5820656404324931,49,64,81,81,2900.0,3000.0,3000.0,3000.0,22,23,23,23
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,1.0,58.166393777726086,22.86283329183445,129.0185185185185,3007.8885797594116,54,1.18578336665819,48,130.0,150.0,150.0,3000.0,3200.0,3200.0,3200.0,23,24,24,24
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,2.0,72.62266907265175,23.870557738731105,128.9909090909091,3151.6477687453853,110,2.4028132135878106,52,220.0,260.0,260.0,3100.0,3600.0,3700.0,3700.0,23,27,27,27
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,4.0,98.60548291855667,25.51949533808828,129.00452488687782,3390.6596360588105,221,4.880028233307422,53,310.0,520.0,520.0,3200.0,4200.0,4400.0,4400.0,24,31,31,31
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,6.0,130.79255888828055,28.104815044622768,129.02416918429003,3756.9111074018447,331,7.387725627773128,56,470.0,790.0,790.0,3500.0,4900.0,5200.0,5200.0,26,34,36,36
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,8.0,160.69778786852086,29.858975286619067,129.01133786848072,4012.7346947800233,441,9.945384790399139,59,560.0,970.0,1000.0,3600.0,5600.0,6000.0,6100.0,27,39,40,41
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,10.0,203.42240335331323,32.80924851520167,129.02914389799636,4436.646701063776,549,12.682433690681599,62,810.0,1300.0,1400.0,3800.0,6600.0,7100.0,7100.0,29,46,47,49
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,12.0,249.24958689211903,35.61670614189118,128.96808510638297,4842.639518351069,658,15.47319529979858,65,960.0,1600.0,1700.0,4000.0,7600.0,8400.0,8400.0,30,53,54,55
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,14.0,324.2133956535741,39.155663688030714,129.00261437908497,5375.368002925465,765,18.514026881068787,69,1200.0,1900.0,2000.0,4100.0,8700.0,9400.0,9800.0,32,59,61,62
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,16.0,428.92570976927686,42.051348162376385,129.00344431687716,5853.737456756601,871,21.149999528165264,87,1500.0,2300.0,2400.0,4500.0,9500.0,10000.0,10000.0,34,62,63,63
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,18.0,562.7167238912562,45.68505924483054,128.97538461538463,6454.931022230767,975,23.6666604839515,110.0,1900.0,3200.0,3500.0,5100.0,10000.0,11000.0,11000.0,39,65,66,66
vllm,meta-llama/Llama-3.1-8B-Instruct,124.0,128,True,1.0,,20.0,892.8949531579261,52.70801089627015,128.99719626168223,7691.985749285944,1070,26.161039578180475,160.0,2700.0,4900.0,5200.0,6800.0,11000.0,13000.0,14000.0,49,67,68,68
vllm,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,0.125,40.594504166923194,21.824460885014105,129.0,2855.9499583337433,6,0.12891594659406205,41,41,41,41,2900.0,2900.0,2900.0,2900.0,22,22,22,22
vllm,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,0.5,55.65314284614522,22.542736120632018,128.8846153846154,2961.0625029999237,26,0.5843374022385899,53,67,100.0,100.0,2900.0,3100.0,3100.0,3100.0,22,23,23,23
vllm,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,1.0,68.51272587004199,23.096325495972454,129.0,3047.9320316849394,54,1.196813079659365,54,150.0,210.0,210.0,3000.0,3300.0,3300.0,3300.0,23,24,25,25
vllm,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,2.0,93.45177130906615,24.381751906533538,129.02727272727273,3239.308164672746,110,2.419283705130145,55,300.0,460.0,460.0,3100.0,3900.0,3900.0,4000.0,24,28,28,28
vllm,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,4.0,148.46414611770652,27.198474899680615,129.0,3657.009408212781,221,4.999392883098742,57,490.0,940.0,950.0,3300.0,5000.0,5300.0,5300.0,25,35,37,37
vllm,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,6.0,195.8756406120797,30.245147192387893,128.9909090909091,4097.192417493913,330,7.512719967390248,61,720.0,1400.0,1400.0,3600.0,5800.0,6100.0,6100.0,28,39,41,41
vllm,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,8.0,262.42940102281796,33.45192223091442,129.01822323462414,4578.454684863293,439,10.240374387263879,65,1100.0,1800.0,1900.0,3800.0,7000.0,7400.0,7500.0,29,46,50,50
vllm,meta-llama/Llama-3.1-8B-Instruct,252.0,128,True,1.0,,10.0,333.16128685539513,38.190856006018684,128.96520146520146,5258.468430434071,546,13.054988117235252,71,1300.0,2300.0,2400.0,4200.0,8400.0,9000.0,9000.0,32,55,59,59
